DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Oct1970,-0.5246,-0.74918,-0.19928,0.05063,-0.30922,-0.22211,-0.15901,0.329,0.11505,0.29911,0.07785,0.25135,0.17904,0.17795,0.03446,0.01156,-0.0547,-0.07653,-0.16432,-0.11637,0.03563,0.05061,0.22701,0.28254,0.34946,0.26862,0.1836,0.15415,0.2129,0.27751,0.48143,0.5613,0.6806,0.54965,0.48703,0.72221,0.80785,0.7924,0.78924,0.85117,0.86965,0.99544,0.92165,0.92186,0.77802,0.66743,0.57211,0.61076
Nov1970,-1.10397,-1.08848,-1.24764,-0.83342,-0.634,-0.85405,-0.67951,-0.54335,-0.1232,-0.27198,-0.08779,-0.26855,-0.09019,-0.1266,-0.12331,-0.249,-0.26511,-0.31564,-0.32753,-0.37601,-0.32377,-0.17671,-0.15126,0.0169,0.07732,0.14952,0.07834,0.00686,-0.01829,0.03743,0.10055,0.29393,0.37551,0.49198,0.37675,0.31764,0.54326,0.63155,0.61914,0.6174,0.67755,0.69642,0.81215,0.74373,0.74932,0.61481,0.51357,0.42969
Dec1970,-0.32583,-0.97729,-1.0522,-1.23623,-0.88301,-0.7273,-0.9151,-0.76474,-0.6362,-0.2399,-0.37017,-0.18026,-0.36602,-0.2011,-0.24175,-0.22695,-0.34421,-0.35264,-0.39775,-0.39084,-0.43735,-0.3795,-0.23449,-0.20385,-0.04153,0.01878,0.09618,0.02552,-0.04607,-0.07031,-0.01436,0.04786,0.24027,0.32217,0.43729,0.32594,0.26538,0.48701,0.57438,0.56267,0.56217,0.62114,0.6394,0.74886,0.68533,0.6949,0.56528,0.46802
Jan1971,0.82815,0.16248,-0.57235,-0.75393,-0.9111,-0.63004,-0.48549,-0.70018,-0.61122,-0.51186,-0.11671,-0.26353,-0.07993,-0.25383,-0.11235,-0.15701,-0.14406,-0.26212,-0.26997,-0.31682,-0.31216,-0.37676,-0.32852,-0.18913,-0.16206,0.00435,0.06397,0.13949,0.07021,-0.00732,-0.03139,0.02255,0.0855,0.27641,0.35586,0.46929,0.35479,0.29124,0.5167,0.6037,0.59267,0.59207,0.65124,0.66942,0.7815,0.71887,0.72806,0.59549
Feb1971,-0.97156,-0.05505,-0.3043,-0.81615,-0.94737,-1.0684,-0.79608,-0.65685,-0.82848,-0.72739,-0.62292,-0.26443,-0.38758,-0.21751,-0.37267,-0.23425,-0.27436,-0.25829,-0.36069,-0.36833,-0.40591,-0.39874,-0.45665,-0.40944,-0.27404,-0.24582,-0.08576,-0.02,0.05502,-0.01191,-0.08595,-0.10925,-0.05622,0.00383,0.19117,0.2708,0.38206,0.27349,0.21087,0.43019,0.51763,0.50733,0.50855,0.56694,0.585,0.6926,0.63187,0.64412
Mar1971,-1.09555,-1.2376,-0.61434,-0.74225,-1.08028,-1.1803,-1.24857,-1.00698,-0.86968,-1.00454,-0.88561,-0.78183,-0.46616,-0.56289,-0.40606,-0.5208,-0.37803,-0.41801,-0.40815,-0.49491,-0.49775,-0.52686,-0.51203,-0.55813,-0.51477,-0.3858,-0.35963,-0.211,-0.13669,-0.06402,-0.12574,-0.19451,-0.21552,-0.16399,-0.10595,0.07267,0.15255,0.25981,0.1607,0.09909,0.30747,0.3953,0.3858,0.38902,0.4459,0.46377,0.56717,0.51037
Apr1971,0.28076,-0.43417,-0.64728,-0.34041,-0.49105,-0.79113,-0.85813,-0.93244,-0.74658,-0.6466,-0.77822,-0.7066,-0.62828,-0.36099,-0.45367,-0.32009,-0.42462,-0.31128,-0.3483,-0.33775,-0.41534,-0.41797,-0.44654,-0.44232,-0.49124,-0.45447,-0.33732,-0.3144,-0.17145,-0.0999,-0.03325,-0.09346,-0.16099,-0.18111,-0.13363,-0.08059,0.08805,0.16342,0.2653,0.17048,0.1114,0.30915,0.3941,0.38446,0.38804,0.44335,0.46062,0.56146
May1971,0.49661,0.47017,-0.1967,-0.41301,-0.1883,-0.31637,-0.61179,-0.66456,-0.75262,-0.59545,-0.50977,-0.64346,-0.59534,-0.53583,-0.28761,-0.38251,-0.25978,-0.35721,-0.25272,-0.28763,-0.27509,-0.35129,-0.35327,-0.38429,-0.38546,-0.43694,-0.40128,-0.28753,-0.26803,-0.13125,-0.06111,-1e-04,-0.05752,-0.12416,-0.14282,-0.09606,-0.04446,0.12057,0.19501,0.29828,0.20215,0.13999,0.33659,0.41968,0.41014,0.41388,0.46815,0.48556
Jun1971,-0.17196,0.22694,0.2973,-0.26262,-0.4547,-0.25109,-0.35858,-0.64012,-0.68206,-0.76683,-0.6134,-0.53449,-0.66056,-0.615,-0.55569,-0.31668,-0.40732,-0.28579,-0.37979,-0.27808,-0.31085,-0.29766,-0.37084,-0.37231,-0.40065,-0.40352,-0.45319,-0.41879,-0.30688,-0.28747,-0.15053,-0.08154,-0.02276,-0.0787,-0.14233,-0.15983,-0.11411,-0.06393,0.09786,0.16915,0.27189,0.17836,0.11908,0.3116,0.39429,0.38573,0.3894,0.44299
Jul1971,1.62061,1.0937,1.01239,0.89654,0.20457,-0.07728,0.07682,-0.07108,-0.39486,-0.44544,-0.54593,-0.39623,-0.32901,-0.47125,-0.44246,-0.3954,-0.15483,-0.25541,-0.136,-0.23503,-0.13455,-0.16931,-0.15571,-0.23473,-0.23849,-0.27099,-0.28119,-0.3392,-0.30839,-0.19709,-0.18099,-0.04178,0.02371,0.07898,0.02183,-0.04419,-0.06279,-0.01658,0.03356,0.19662,0.26662,0.37024,0.27258,0.20996,0.4042,0.48481,0.4754,0.47785
