DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Nov1964,-0.54744,-0.53027,-0.55694,-0.53602,-0.65497,-0.89369,-1.31833,-1.05527,-1.13982,-1.04742,-1.31851,-0.9081,-1.0076,-0.85358,-0.87576,-0.74036,-0.76342,-0.7619,-0.17058,0.04374,-0.08673,-0.2825,-0.3416,-0.46847,-0.61439,-0.60185,-0.55108,-0.49858,-0.55739,-0.50988,-0.51342,0.20354,-0.12455,0.23319,0.12796,0.05311,-0.14111,-0.21016,-0.19964,-0.19044,-0.22136,-0.27834,-0.46213,-0.51978,-0.59228,-0.57618,-0.50996,-0.6216
Dec1964,-0.55975,-0.867,-0.83661,-0.84815,-0.81898,-0.89784,-1.08173,-1.43263,-1.18688,-1.25044,-1.15996,-1.41097,-1.01414,-1.09807,-0.94587,-0.9659,-0.83363,-0.85513,-0.85148,-0.27274,-0.03597,-0.17172,-0.36183,-0.41915,-0.54481,-0.68775,-0.67469,-0.62423,-0.5703,-0.62654,-0.57989,-0.5811,0.12907,-0.19403,0.16381,0.05938,-0.01261,-0.20457,-0.27255,-0.26291,-0.25057,-0.2793,-0.33268,-0.51017,-0.56351,-0.6319,-0.61689,-0.55239
Jan1965,2.21062,1.81562,1.15733,0.86604,0.8158,0.7486,0.59216,0.31389,-0.2025,-0.23628,-0.48373,-0.48105,-0.78561,-0.37037,-0.46464,-0.30809,-0.33244,-0.19905,-0.23293,-0.25338,0.27596,0.45416,0.30658,0.1015,0.04257,-0.09409,-0.22853,-0.18161,-0.13008,-0.08204,-0.14301,-0.11857,-0.15407,0.55252,0.21811,0.55808,0.45913,0.37386,0.18502,0.11099,0.11923,0.12153,0.08613,0.01744,-0.17232,-0.22611,-0.31117,-0.29846
Feb1965,-0.94661,1.41331,0.96992,0.50534,0.37044,0.32324,0.28721,0.15756,-0.08383,-0.52484,-0.50353,-0.71191,-0.69494,-0.98592,-0.55624,-0.65558,-0.5017,-0.52761,-0.39509,-0.41836,-0.42931,0.11027,0.29093,0.14821,-0.0527,-0.10682,-0.24052,-0.37197,-0.32685,-0.27813,-0.22428,-0.28611,-0.25754,-0.28987,0.40945,0.07938,0.42798,0.33063,0.24219,0.05371,-0.01967,-0.01365,-0.00813,-0.04211,-0.10428,-0.28311,-0.33121,-0.40967
Mar1965,-0.13379,-0.66781,0.93319,0.64889,0.34366,0.24203,0.21151,0.16774,0.05175,-0.15671,-0.55919,-0.5357,-0.72934,-0.72284,-0.99657,-0.61192,-0.70425,-0.56318,-0.58753,-0.46645,-0.47847,-0.48534,0.01757,0.20199,0.06339,-0.1301,-0.17672,-0.30868,-0.43338,-0.38756,-0.34317,-0.29203,-0.35875,-0.33076,-0.35494,0.32713,0.00135,0.35262,0.25833,0.17723,-0.00417,-0.07718,-0.07042,-0.06378,-0.09693,-0.15476,-0.31753,-0.36029
Apr1965,-0.51774,-0.53581,-0.81122,0.48969,0.26287,0.00133,-0.06116,-0.09371,-0.13049,-0.22806,-0.42623,-0.77265,-0.72034,-0.89833,-0.87949,-1.1467,-0.77517,-0.85708,-0.73768,-0.76132,-0.63999,-0.64992,-0.64739,-0.12852,0.06432,-0.07482,-0.25611,-0.29231,-0.42262,-0.55002,-0.51056,-0.46549,-0.41002,-0.47454,-0.44261,-0.46756,0.22354,-0.10186,0.26258,0.16716,0.08999,-0.0948,-0.16769,-0.1602,-0.1505,-0.18401,-0.23813,-0.39385
May1965,-1.61951,-1.15269,-0.97107,-1.13372,-0.0914,-0.24029,-0.46522,-0.54295,-0.55842,-0.57775,-0.6457,-0.77695,-1.04593,-0.97822,-1.11566,-1.08121,-1.30728,-0.98715,-1.05516,-0.95244,-0.97372,-0.868,-0.87487,-0.86581,-0.39353,-0.21894,-0.33155,-0.49051,-0.51776,-0.62028,-0.74073,-0.71052,-0.6676,-0.61308,-0.66745,-0.629,-0.64187,0.007,-0.28106,0.07014,-0.01546,-0.08467,-0.25171,-0.31725,-0.30963,-0.29872,-0.33211,-0.37852
Jun1965,-0.13242,-1.14732,-1.04182,-0.89949,-1.06392,-0.10252,-0.2405,-0.4546,-0.52586,-0.53969,-0.5559,-0.62137,-0.74,-0.99886,-0.94844,-1.08406,-1.05108,-1.278,-0.96303,-1.03254,-0.92918,-0.94999,-0.847,-0.85319,-0.84522,-0.38929,-0.22372,-0.334,-0.4878,-0.51096,-0.60647,-0.72298,-0.69348,-0.65189,-0.5997,-0.6546,-0.61757,-0.6284,0.00542,-0.27324,0.0679,-0.01689,-0.08155,-0.24264,-0.30707,-0.29996,-0.29021,-0.32221
Jul1965,-0.01576,-0.204,-1.07405,-1.0214,-0.88398,-1.0411,-0.11995,-0.2594,-0.46355,-0.5334,-0.54664,-0.56174,-0.6295,-0.74152,-0.98571,-0.94079,-1.07174,-1.0393,-1.26097,-0.95416,-1.02078,-0.9259,-0.94646,-0.8452,-0.85051,-0.84152,-0.39501,-0.23324,-0.33565,-0.48337,-0.50593,-0.59903,-0.71045,-0.68222,-0.642,-0.59042,-0.64538,-0.60951,-0.62645,-0.00646,-0.28767,0.04634,-0.03685,-0.09933,-0.25684,-0.32116,-0.31328,-0.30394
Aug1965,0.07554,-0.00027,-0.09065,-0.88012,-0.9253,-0.81271,-0.96846,-0.09818,-0.23008,-0.41882,-0.48461,-0.49865,-0.51229,-0.57719,-0.68526,-0.92826,-0.88645,-1.02269,-0.99579,-1.22268,-0.91105,-0.97945,-0.88389,-0.90551,-0.80538,-0.81231,-0.80606,-0.36917,-0.21636,-0.32084,-0.46608,-0.48721,-0.57745,-0.68572,-0.65578,-0.61553,-0.56462,-0.619,-0.58419,-0.60356,0.00374,-0.2733,0.05463,-0.02393,-0.08618,-0.23958,-0.30363,-0.29658
